boolean_relationship,chemical_name,disease_name,all_info
True,caffeine,ventricular fibrillation,describe yearold woman preexisting mitral valve prolapse developed intractable ventricular fibrillation consuming natural energy guarana health drink containing high concentration caffeine developed ventricular fibrillation consuming health drink containing caffeinedescribe yearold woman preexisting mitral valve prolapse developed intractable ventricular fibrillation consuming natural energy guarana health drink containing high concentration caffeine case highlights need adequate labelling regulation products
False,lactulose,critically ill,laxation critically ill patients lactulose polyethylene glycol twocenter randomized doubleblind placebocontrolled trialnanstudy whether lactulose polyethylene glycol effective promote defecation critically ill patients whether either two superior whether use enteral laxatives related clinical outcome
False,sulfasalazine/SSZ,PsA,methotrexate mtx sulfasalazine ssz cyclosporine csa widely used dmards treatment psa safe effective patients active peripheral arthritis although appear effective axial manifestationsnanerosive deforming arthritis present patients psoriatic arthritis psa early aggressive treatment diseasemodifying antirheumatic drugs dmards may effective controlling progression disease rheumatoid arthritis ra methotrexate mtx sulfasalazine ssz cyclosporine csa widely used dmards treatment psa safe effective patients active peripheral arthritis although appear effective axial manifestations controlled study evaluated efficacy drugs progression radiological damage recently demonstrated leflunomide antitumor necrosis factor tnf agents effective psa psoriasis symptomatic improvement important sustained side effects minimal particular inhibitors tnf appear excellent potential treat psa agents able slow joint damage rheumatoid arthritis effective spinal symptoms ankylosing spondylitis hopefully findings prove true psa well
True,Polychlorinated biphenyls/PCBs,NAFLD/non-alcoholic fatty liver disease,polychlorinated biphenyls pcbs persistent environmental toxicants present ofus adults dosedependently associated obesity nonalcoholic fatty liver disease nafld nanpolychlorinated biphenyls pcbs persistent environmental toxicants present us adults dosedependently associated obesity nonalcoholic fatty liver disease nafld pcbs predicted interact receptors previously implicated xenobioticenergy metabolism nafld receptors include aryl hydrocarbon receptor ahr pregnane xenobiotic receptor pxr constitutive androstane receptor car peroxisome proliferatoractivated receptors ppars liverxreceptor lxr farnesoidxreceptor fxr study evaluates aroclor pcb mixture congener composition mimicking human adipose tissue selected congeners potential ligands receptors utilizing human hepatomaderived hepg primatederived cos cell lines primary human hepatocytes aroclor  gml activated ahr pcb minor component potent inducer aroclor activated pxr simple concentrationdependent manner concentrations gml among congeners tested pcbs    activated pxr aroclor activated car car variants lower concentrations antagonize car activation car agonist citco higher concentrations gml additionally aroclor induced cypb primary hepatocytes subtoxic doses aroclor activate lxr fxr effect lxr fxrdependent induction agonists gw respectively aroclor  gml suppressed ppar activation agonist nafenopin although none congeners tested demonstrated significant inhibition results suggest aroclor human ahr pxr car agonist mixed agonistantagonist car antagonist human ppar
True,PCP,sarcoma,although pcp classified human carcinogen epidemiological observations suggest exposure chlorophenols general pcp solutions particular may result increased risk certain malignant disorders nasal carcinoma soft tissue sarcoma nanpentachlorophenol pcp still one frequently used fungicides pesticides toxicity due interference oxidative phosphorylation acute chronic poisoning may occur dermal absorption inhalation ingestion chronic poisoning occurs mainly sawmill workers people living log homes treated pcpcontaining wood protecting formulations quantitative determination pcp urine serum useful detect occupational subclinical exposure clinical features acute chronic pcp poisoning classified systematically effects skin metabolism fever haematopoietic tissue respiratory system central peripheral nervous system kidney gastrointestinal tract although pcp classified human carcinogen epidemiological observations suggest exposure chlorophenols general pcp solutions particular may result increased risk certain malignant disorders nasal carcinoma soft tissue sarcoma concern contamination pcpsolutions products chlorodibenzopdioxins real cause suspected carcinogenicity specific antidote exists treatment acute pcp poisoning basis treatment acute poisoning intensive supportive care prevention dangerous rise temperature use pcpbased products indoor wood preservatives poses unacceptable risk human health
True,DDT,farmer's lung,insecticides ddt lindane aldicarb positively associated farmers lung among farmersnanfarmers lung hypersensitivity pneumonitis important contributor respiratory morbidity among farmers
True,SSRI,sexual dysfunction,management ssri induced sexual dysfunction nandescribe occurrence management sexual dysfunction induced selective serotoninreuptake inhibitors ssris provide overview sexual dysfunction reports ssriinduced sexual dysfunction management strategies
False,Rosiglitazone,type,rosiglitazone significantly increased glucose uptake wild type podocytes associated translocation glut plasma membranenanperoxisome proliferatoractivated receptor ppar gamma agonists used increasingly treatment type diabetes context renal disease ppargamma agonists reduce microalbuminuria diabetic nephropathy however mechanisms underlying effect unknown glomerular podocytes newly characterised insulinsensitive cells good evidence targeted diabetic nephropathy study investigated functional molecular effects ppargamma agonist rosiglitazone human podocytes
False,MPA,MPA,median mpa concentration  microgml patients within range respectively nantherapeutic drug monitoring mycophenolic acid mpa combination cyclosporine concentration csa  tacrolimus trough concentration  investigated repeated measurements mpa mpaglucuronide mpag trough concentrations renal allograft recipients first months posttransplant acute rejection rate lower vs 
False,auristatin PE,Tumor,tumor growth inhibition tc tumor growth delay tc log kill auristatin pe dolastatin  days  days respectivelynanwaldenstroms macroglobulinemia wm uncommon lymphoproliferative disease remains incurable current treatment protocols previously established permanent wm cell line wsuwm grows xenograft severe combined immune deficient scid mice study investigated antitumor effects auristatin pe structural modification marine shellless mollusk peptide constituent dolastatin wsuwm cells cultured rpmi concentration cellsml using well plates auristatin pe dolastatin added triplicate wells cell count viability assessed  results showed agents active wsuwm able induce complete growth inhibition pgml efficacy agents vivo evaluated using wsuwm scid mouse xenograft model auristatin pe dolastatin given iv via tail vein mgkg mgkg respectively agents given every second day three injections represent maximum tolerated doses tumor growth inhibition tc tumor growth delay tc log kill auristatin pe dolastatin  days  days respectively based animal results dolastatin inactive auristatin pe highly active therefore focused investigation auristatin pe understand mechanisms action using two flow cytometry assays propidium iodide cell cycle analysis amino actinomycin aad detect apoptosis able demonstrate auristatin pe pgml arrested wsumw cells gm concomitantly auristatin petreated cells entered apoptosis greater cells became apoptotic activity auristatin pe evaluated tumor types clinical trials
False,Restylane,hypersensitivity,inflammatory hypersensitivity reactions restylane occurrednanrestylane relatively new material used temporary vocal fold medialization studies evaluated safety complication rate length benefit derived restylane injection medialization report patients underwent officebased injection medialization restylane establish safety length benefit material
True,chromium(VI),skin burns,systemic toxicity may occur following ingestion chromium(vi) salt chromium(vi) induced skin burns inhalation chromium(vi) occurring occupationallynanrepeated topical exposure chromium(vi) may cause allergic contact dermatitis formation chrome ulcers systemic toxicity may occur following ingestion chromium(vi) salt chromiumviinduced skin burns inhalation chromium(vi) occurring occupationally soluble chromium(vi) salts usually absorbed easily cross cell membranes readily trivalent chromium salts therefore chromium(vi) toxic chromiumiii experimental studies endogenous ascorbic acid rat lung liver kidney human plasma effectively reduces chromium(vi) chromiumiii administration exogenous ascorbic acid advocated therefore treatment systemic chromium poisoning chromium dermatitis enhance extracellular reduction chromium(vi) less bioavailable chromiumiii
True,fatty acids,inflammatory bowel disease,numerous clinical trials utilizing various types lipids including fish oil short chain fatty acids suggest fats play important role inflammatory response characterizes inflammatory bowel disease nannutrition plays significant role pathogenesis treatment two major forms inflammatory bowel disease crohns disease ulcerative colitis addition patients inflammatory bowel disease often found nutrient deficiencies time diagnosis whereas others develop features malnutrition course illness therefore understanding relationship nutrients inflammatory bowel disease important patients receive optimal care
True,tremolite,mesothelioma,case occupational peritoneal mesothelioma exposure tremolite free chrysotile quebec canada black swan casenantremolite contamination proposed cause mesothelioma workers exposed commercial chrysotile asbestos industry scientists sponsored example argued commercial chrysotile cause peritoneal mesothelioma
False,phosphate,ESRD/end-stage renal disease, patients chronic haemodialysis hd serum phosphate level mgdl mmoll recently recommended appropriate target patients endstage renal disease esrd nan patients chronic haemodialysis hd serum phosphate level mgdl mmoll recently recommended appropriate target patients endstage renal disease esrd preventing hyperphosphataemia elevated ca product ameliorates progression secondary hyperparathyroidism bone disease also appears reduce cardiovascular morbidity mortality vascular calcifications dietary phosphate restriction administration aluminium calcium salts principal means phosphate control last decade unfortunately protean disturbances toxic aluminium accumulation body virtually eliminated aluminium clinical practice calciumbased therapy although well tolerated results frequent hypercalcaemia administered concurrently vitamin analogues despite decrease concentration dialysate calcium sevelamer renagelr novel nonabsorbable calcium aluminiumfree synthetic polymer initial studies sevelamer reduced serum phosphate ca product parathyroid hormone pth manner comparable calcium acetate therapy however effect pth levels may prove inconsistent seems somewhat less effective binding phosphate aluminium although direct comparisons made recent study attenuated progression vascular calcification hd patients also binds bile acids resulting substantially lower lowdensity lipoprotein cholesterol levels major obstacle current use substantial increase cost associated sevelamer therapy
True,dihydroergotamine,primary headache disorders,determine dosing side effects dihydroergotamine affect outcomes primary headache disorders nandetermine dosing side effects dihydroergotamine affect outcomes primary headache disorders
False,heparin,haemorrhagic,use heparin extracorporeal therapies problematical due haemorrhagic complications consequence heparinase flavobacterium heparinum used determination plasma heparin elimination heparin circulationnanuse heparin extracorporeal therapies problematical due haemorrhagic complications consequence heparinase flavobacterium heparinum used determination plasma heparin elimination heparin circulation report expression recombinant heparinase escherichia coli purification homogeneity characterization purified enzyme heparinase expressed nterminal histidine tag enzyme insoluble inactive could refolded purified homogeneity nickelchelate chromatography cumulative yield recovery purified heparinase mgl culture nterminal sequence molecular mass analysed matrixassisted laser desorption ms consistent predictions heparinase gene structure reversephase hplc profile tryptic digest michaelismenten constant km microgramsml specific activity unitsmg purified recombinant heparinase similar native enzyme degradation heparin heparinase results characteristic product distribution different obtained degradation heparinase ii iii heparinum developed rapid anionexchange hplc method separate products enzymic heparin degradation using poros perfusion chromatography media separation characteristic di tetra hexasaccharide products performed min methods expression purification analysis recombinant heparinase may facilitate development heparinase ibased medical therapies well investigation structures heparin heparan sulphate role extracellular matrix
False,AZA,laboratory abnormalities,patients discontinue mp aza laboratory abnormalities improved spontaneously dose reductionnanmercaptopurine mp prodrug azathioprine aza effective induction maintenance remission reduction corticosteroid exposure pediatric inflammatory bowel disease ibd standard dose 6-mp mgkgday aza mgkgday aim study determine whether ibd patients years age younger require higher standard doses mpaza achieve clinical remission
True,estrogen,breast cancer,epht recruited womens health initiative whi usa decided stop estrogen progestin trial mean years july increased risk breast cancer later estrogen trial ht increased risk stroke decreased risk hip fracture affect coronary heart disease incidencenanpreventive drugs require longterm trials show effectiveness harms often lot changes occur postmarketing studies purpose article describe research process longterm randomized controlled trial discuss impact consequences changes research environment
True,aspirin,Unusual burn injury,unusual burn injury due application white vinegar aspirin mixturenanread googles xdtraditional medicine remedies believed provide relief pain nevertheless risky procedure remedies prepared inappropriately describe patient suffered splitthickness leg burn applying selfinflicted mixture consisting white vinegar aspirin prepared knee pain case report highlights rare cause chemical burn could become common increasing use traditional remedies worldwide
True,noradrenaline,hypertension,supersensitivity noradrenaline contributes certain vascular disorders eg hypertension chronic neuropathic pain conditions eg complex regional pain syndromenansupersensitivity noradrenaline contributes certain vascular disorders eg hypertension chronic neuropathic pain conditions eg complex regional pain syndrome aimed develop procedure inducing adrenergic supersensitivity could used investigate role catecholamines clinical conditions first study three doses guanethidine administered iontophoresis separate small patches skin forearm healthy human volunteers four five hours later vasoconstrictor response adrenergic releasing agent tyramine inhibited dosedependent manner iontophoretic pretreatment guanethidine indicating guanethidine depleted endogenous adrenergic stores second study guanethidine saline administered iontophoresis four times approximately weeks separate sites forearm one two days final pretreatment vasoconstriction iontophoresis weak dose noradrenaline enhanced sites pretreated guanethidine investigate effect guanethidine pretreatment thermal hyperalgesia experimental sites sensitized heat topical application capsaicin application capsaicin heatpain threshold heatpain ratings suprathreshold stimulation similar sites pretreated weeks guanethidine saline however iontophoresis noradrenaline thermal hyperalgesia greater guanethidinepretreated site saline pretreated site observations indicate prolonged depletion adrenergic stores guanethidine induces adrenergic supersensitivity cutaneous vessels adrenergic supersensitivity enhances thermal hyperalgesia presence noradrenaline
True,leuprolide,weight gain, patients receiving leuprolide weight gain kgnanluteinizing hormone releasing hormone agonist leuprolide investigated doubleblind randomized placebocontrolled study comprising evaluable patients moderate severe symptoms resulting benign prostatic hyperplasia patients received mg leuprolide depot placebo injection every days weeks hemoglobin level decreased gm ml  patients receiving leuprolide mean testicular volume decreased 
True,epinephrine,myocardial ischemia,however mechanisms myocardial ischemia induced epinephrine significantly different exercisenanrole epinephrine eliciting myocardial ischemia examined patients coronary artery disease objective signs ischemia factors increasing myocardial oxygen consumption compared epinephrine infusion supine bicycle exercise epinephrine exercise produced myocardial ischemia evidenced st segment depression angina however mechanisms myocardial ischemia induced epinephrine significantly different exercise exerciseinduced myocardial ischemia marked predominantly increased heart rate ratepressure product minor contribution enddiastolic volume epinephrineinduced ischemia characterized marked increase contractility less pronounced increase heart rate ratepressure product findings indicate ischemia produced epinephrine may occur states emotional distress mechanism distinct due physical exertion
True,isocyanates,asthma,animal studies suggested skin exposure isocyanates may important risk factor respiratory sensitization leading asthma nanlittle known extent human isocyanate skin exposure auto body shops effectiveness personal protective equipment animal studies suggested skin exposure isocyanates may important risk factor respiratory sensitization leading asthma study provides initial data hexamethylene diisocyanate skin exposure three auto body shops
False,bombesin,breast cancer,inhibitory effect bombesin gastrinreleasing peptide antagonist rc-3095 luteinizing hormonereleasing hormone antagonist sb-75 growth mcf miii human breast cancer xenografts athymic nude micenanresults several clinical trials using various luteinizing hormonereleasing hormone agonists treatment advanced breast cancer encouraging however breast cancers estrogendependent treated hormonal manipulation new therapeutic approaches combining estrogen ablation therapy compounds must explored various studies suggest bombesin gastrinreleasing peptide acts autocrine growth factor may play role initiation progression cancers including breast
False,fentanyl,cancer,twentyone consecutive cancer patients morphineinduced delirium underwent opioid rotation fentanyl nanalthough recent studies suggest opioid rotation could effective treatment strategy morphineinduced delirium prospective studies investigate treatment effects opioid rotation using fentanyl primary aim study clarify efficacy opioid rotation morphine fentanyl symptom palliation morphineinduced delirium twentyone consecutive cancer patients morphineinduced delirium underwent opioid rotation fentanyl physicians recorded symptom severity delirium memorial delirium assessment scale mdas pain symptoms categorical verbal scale none severe schedule team assessment scale stas none extreme performance status time study enrollment three seven days patients recruited one patient complete study remaining patients morphine substituted transdermal fentanyl patients parenteral fentanyl patients total opioid dose increased mg oral morphine equivalentday day  mgday day median increase total opioid dose treatment success defined mdas score pain score less obtained patients day  patients day mean mdas score significantly decreased day  days  respectively
True,salicylates,hearing loss,reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycinnanreversible irreversible ototoxicity documented following administration various therapeutic agents reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycin report case reversible hearing loss following okt murine monoclonal antibody cd administration okt monoclonal antibody used immunosuppressant following cadaveric renal transplants associated transient sensorineural hearing loss reversed following discontinuation okt
