verify_relationship,chemical_name,disease_name,pmid,relationship_info
yes_direct,5-HT,psychotic disorders,20705401,animal models considered reflect positive symptoms schizophrenia evidence suggests altered 5-ht receptors involved pathophysiology psychotic disorders receptors ht related psychotic disorders 5-htht receptors 5-ht
no_relation,D-penicillamine,localized scleroderma,2334179,case reports patients severe extensive localized scleroderma treated d-penicillamine summarized articled-penicillamine used treat patients
no_relation,yohimbine,affective disorders,1535072,method six patients either obsessive compulsive disorder trichotillomania anxiety affective disorders suffered sexual side effects treatment serotonin reuptake blockers given yohimbine prn basis open clinical trialsentence says affective disorders caused serotonin reuptake blockers yohimbine used try treat patients
no_relation,calcium,muscle spasms,8492347,severe hypokalemia may cause muscle weakness severe hypomagnesemia associated muscle spasms tetany cannot corrected potassium calcium supplementation alone sentence says calcium supplementation cannot used treat muscle spasms tetany
no_relation,dexrazoxane,hematologic toxicity,15897593,clinical trials patients brain metastases combining dexrazoxane high doses etoposide ongoing aim improving efficacy without aggravating hematologic toxicity dexrazoxane used try make patients better without making hematologic toxicity worse sentence say dexrazoxane causes hematologic toxicity
no_relation,creatinine,hypertension,10539815,used timetoevent analysis identify potential predictors decrease renal function including age baseline ejection fraction baseline creatinine low systolic blood pressure hypertension diabetes use antiplatelet diuretic betablocker therapycreatinine hypertension studied potential predictors decreased renal kidney function
no_relation,remifentanil,pain,18006530,conclusions induction anaesthesia tci propofol remifentanil significant reduction propofol infusion pain achieved without significant complications prior administration remifentanil target ce ng mlremifentanil reduces pain caused propofol
yes_direct,amisulpride,hypertensive,15811908,conclusions march  first reported case amisulpride tiaprideinduced hypertensive crisis patient pheochromocytomasentence talks first case amisulpride induced hypertensive crisis
yes_direct,capsaicin,painful,9514561,small amount capsaicin administered subcutaneously right forehead evoke burning painful sensation first division trigeminal nervecapsaicin chemical makes chilis spicy put skin causes pain
no_relation,daunorubicin,AIDS,8305357,report nonrandomized phase ii clinical trial assess efficacy safety liposomal daunorubicin daunoxome treatment aids related kaposis sarcomadaunorubicin studied way treat aids related kaposis sarcoma
no_relation,adenosine,acute and chronic pain,11752998,background preclinical studies intrathecal adenosine suggest may effective treatment acute chronic pain humans preliminary studies volunteers patients swedish formulation adenosine suggests may effective hypersensitivity states acute noxious stimulationadenosine might able treat acute chronic pain
yes_direct,eserine,mydriasis,6892185,hand mydriasis tremor clonictonic convulsions evoked carbachol eserine significantly changed calcium chlorideeserine carbachol cause mydriasis
no_relation,telmisartan,hypertension,18201582,results comparative phase iii week multicenter prospective randomized doubleblind assessment efficacy tolerability fixeddose combination telmisartan amlodipine versus amlodipine monotherapy indian adults stage ii hypertension telmisartan used patients stage ii hypertension seems tested treatment
yes_direct,droperidol,drug allergies,8599504,report case previously healthy yearold man known drug allergies angioedema significant tongue swelling protrusion developed within minutes administration single iv dose droperidol droperidol causes angioedema tongue swelling patient prior drug allergies
yes_direct,heparin,hemorrhage,6615052,clinical manifestations disorder include hemorrhage frequently thromboembolic events patients receiving heparin sentence follow chemicalinduced disease causes highlighted disease structure heparininduced disease causes hemorrhage wrong patients developed hemorrhage receiving heparin correct choice heparin directly contributes causes hemorrhage
yes_direct,Verapamil,AF,11282081,results verapamil caused af promotion six dogs increasing mean duration af induced burst pacing meanse nan
yes_direct,dopamine,catatonia,6540303,pinealectomized chick pretreatment dopamine increased duration catatonia doc ketamine pretreatment norepinephrinedopamine made duration catatonia longer means dopamine made catatonia worse
yes_direct,acetaminophen,toxicity,9067481,understanding mechanism cs cytoprotection examined rats mice protective abilities cs nonhydrolyzable ether form cs gammacholesteryloxybutyric acid tris salt cse acetaminophen adriamycin carbon tetrachloride chloroform galactosamineinduced toxicity five chemicals including acetaminophen induced caused toxicity
yes_direct,cyclooxygenase inhibitors,stroke,16586083,randomised clinical trials observational studies shown increased risk myocardial infarction stroke hypertension heart failure treatment cyclooxygenase inhibitors cyclooxygenase inhibitors cause four diseases including stroke
no_relation,acetylcholine,coronary artery stenosis,11078231,coronary spasm induced intracoronary injection acetylcholine fixed coronary artery stenosis documented angiograms patientsfixed coronary artery stenosis observed patients injected acetylcholine
yes_direct,tramadol,hallucinations,8766220,fiftysix days initiation treatment patient presented hallucinations stopped withdrawal psychoactive drugs tramadol hallucinations went away psychoactive drugs tramadol taken away
yes_direct,Amiodarone,pneumonitis,1595783,amiodarone effective antiarrhythmic agent whose utility limited many sideeffects problematic pneumonitis pneumonitis side effect amiodarone
