boolean_relationship,relationship_info,pmid,chemical_name,disease_name,abstracts
True,describe yearold woman preexisting mitral valve prolapse developed intractable ventricular fibrillation consuming natural energy guarana health drink containing high concentration caffeine developed ventricular fibrillation consuming health drink containing caffeine,11419773,caffeine,ventricular fibrillation,describe yearold woman preexisting mitral valve prolapse developed intractable ventricular fibrillation consuming natural energy guarana health drink containing high concentration caffeine case highlights need adequate labelling regulation products
False,laxation critically ill patients lactulose polyethylene glycol twocenter randomized doubleblind placebocontrolled trialnan,17893628,lactulose,critically ill,study whether lactulose polyethylene glycol effective promote defecation critically ill patients whether either two superior whether use enteral laxatives related clinical outcome
False,methotrexate mtx sulfasalazine ssz cyclosporine csa widely used dmards treatment psa safe effective patients active peripheral arthritis although appear effective axial manifestationsnan,12463452,sulfasalazine/SSZ,PsA,erosive deforming arthritis present patients psoriatic arthritis psa early aggressive treatment diseasemodifying antirheumatic drugs dmards may effective controlling progression disease rheumatoid arthritis ra methotrexate mtx sulfasalazine ssz cyclosporine csa widely used dmards treatment psa safe effective patients active peripheral arthritis although appear effective axial manifestations controlled study evaluated efficacy drugs progression radiological damage recently demonstrated leflunomide antitumor necrosis factor tnf agents effective psa psoriasis symptomatic improvement important sustained side effects minimal particular inhibitors tnf appear excellent potential treat psa agents able slow joint damage rheumatoid arthritis effective spinal symptoms ankylosing spondylitis hopefully findings prove true psa well
True,polychlorinated biphenyls pcbs persistent environmental toxicants present ofus adults dosedependently associated obesity nonalcoholic fatty liver disease nafld nan,24812009,Polychlorinated biphenyls/PCBs,NAFLD/non-alcoholic fatty liver disease,polychlorinated biphenyls pcbs persistent environmental toxicants present us adults dosedependently associated obesity nonalcoholic fatty liver disease nafld pcbs predicted interact receptors previously implicated xenobioticenergy metabolism nafld receptors include aryl hydrocarbon receptor ahr pregnane xenobiotic receptor pxr constitutive androstane receptor car peroxisome proliferatoractivated receptors ppars liverxreceptor lxr farnesoidxreceptor fxr study evaluates aroclor pcb mixture congener composition mimicking human adipose tissue selected congeners potential ligands receptors utilizing human hepatomaderived hepg primatederived cos cell lines primary human hepatocytes aroclor  gml activated ahr pcb minor component potent inducer aroclor activated pxr simple concentrationdependent manner concentrations gml among congeners tested pcbs    activated pxr aroclor activated car car variants lower concentrations antagonize car activation car agonist citco higher concentrations gml additionally aroclor induced cypb primary hepatocytes subtoxic doses aroclor activate lxr fxr effect lxr fxrdependent induction agonists gw respectively aroclor  gml suppressed ppar activation agonist nafenopin although none congeners tested demonstrated significant inhibition results suggest aroclor human ahr pxr car agonist mixed agonistantagonist car antagonist human ppar
True,although pcp classified human carcinogen epidemiological observations suggest exposure chlorophenols general pcp solutions particular may result increased risk certain malignant disorders nasal carcinoma soft tissue sarcoma nan,7904464,PCP,sarcoma,pentachlorophenol pcp still one frequently used fungicides pesticides toxicity due interference oxidative phosphorylation acute chronic poisoning may occur dermal absorption inhalation ingestion chronic poisoning occurs mainly sawmill workers people living log homes treated pcpcontaining wood protecting formulations quantitative determination pcp urine serum useful detect occupational subclinical exposure clinical features acute chronic pcp poisoning classified systematically effects skin metabolism fever haematopoietic tissue respiratory system central peripheral nervous system kidney gastrointestinal tract although pcp classified human carcinogen epidemiological observations suggest exposure chlorophenols general pcp solutions particular may result increased risk certain malignant disorders nasal carcinoma soft tissue sarcoma concern contamination pcpsolutions products chlorodibenzopdioxins real cause suspected carcinogenicity specific antidote exists treatment acute pcp poisoning basis treatment acute poisoning intensive supportive care prevention dangerous rise temperature use pcpbased products indoor wood preservatives poses unacceptable risk human health
True,insecticides ddt lindane aldicarb positively associated farmers lung among farmersnan,17182642,DDT,farmer's lung,farmers lung hypersensitivity pneumonitis important contributor respiratory morbidity among farmers
True,management ssri induced sexual dysfunction nan,9825088,SSRI,sexual dysfunction,describe occurrence management sexual dysfunction induced selective serotoninreuptake inhibitors ssris provide overview sexual dysfunction reports ssriinduced sexual dysfunction management strategies
False,rosiglitazone significantly increased glucose uptake wild type podocytes associated translocation glut plasma membranenan,19533082,Rosiglitazone,type,peroxisome proliferatoractivated receptor ppar gamma agonists used increasingly treatment type diabetes context renal disease ppargamma agonists reduce microalbuminuria diabetic nephropathy however mechanisms underlying effect unknown glomerular podocytes newly characterised insulinsensitive cells good evidence targeted diabetic nephropathy study investigated functional molecular effects ppargamma agonist rosiglitazone human podocytes
False,median mpa concentration  microgml patients within range respectively nan,16359376,MPA,MPA,therapeutic drug monitoring mycophenolic acid mpa combination cyclosporine concentration csa  tacrolimus trough concentration  investigated repeated measurements mpa mpaglucuronide mpag trough concentrations renal allograft recipients first months posttransplant acute rejection rate lower vs 
False,tumor growth inhibition tc tumor growth delay tc log kill auristatin pe dolastatin  days  days respectivelynan,10402249,auristatin PE,Tumor,waldenstroms macroglobulinemia wm uncommon lymphoproliferative disease remains incurable current treatment protocols previously established permanent wm cell line wsuwm grows xenograft severe combined immune deficient scid mice study investigated antitumor effects auristatin pe structural modification marine shellless mollusk peptide constituent dolastatin wsuwm cells cultured rpmi concentration cellsml using well plates auristatin pe dolastatin added triplicate wells cell count viability assessed  results showed agents active wsuwm able induce complete growth inhibition pgml efficacy agents vivo evaluated using wsuwm scid mouse xenograft model auristatin pe dolastatin given iv via tail vein mgkg mgkg respectively agents given every second day three injections represent maximum tolerated doses tumor growth inhibition tc tumor growth delay tc log kill auristatin pe dolastatin  days  days respectively based animal results dolastatin inactive auristatin pe highly active therefore focused investigation auristatin pe understand mechanisms action using two flow cytometry assays propidium iodide cell cycle analysis amino actinomycin aad detect apoptosis able demonstrate auristatin pe pgml arrested wsumw cells gm concomitantly auristatin petreated cells entered apoptosis greater cells became apoptotic activity auristatin pe evaluated tumor types clinical trials
False,inflammatory hypersensitivity reactions restylane occurrednan,24529939,Restylane,hypersensitivity,restylane relatively new material used temporary vocal fold medialization studies evaluated safety complication rate length benefit derived restylane injection medialization report patients underwent officebased injection medialization restylane establish safety length benefit material
