boolean_relationship,relationship_info,pmid,chemical_name,disease_name,abstracts
True,describe yearold woman preexisting mitral valve prolapse developed intractable ventricular fibrillation consuming natural energy guarana health drink containing high concentration caffeine developed ventricular fibrillation consuming health drink containing caffeine,11419773,caffeine,ventricular fibrillation,"We describe a 25-year-old woman with pre-existing mitral valve prolapse who developed intractable ventricular fibrillation after consuming a ""natural energy"" guarana health drink containing a high concentration of caffeine. This case highlights the need for adequate labelling and regulation of such products."
False,laxation critically ill patients lactulose polyethylene glycol twocenter randomized doubleblind placebocontrolled trialnan,17893628,lactulose,critically ill,"To study whether lactulose or polyethylene glycol is effective to promote defecation in critically ill patients, whether either of the two is superior, and whether the use of enteral laxatives is related to clinical outcome."
False,methotrexate mtx sulfasalazine ssz cyclosporine csa widely used dmards treatment psa safe effective patients active peripheral arthritis although appear effective axial manifestationsnan,12463452,sulfasalazine/SSZ,PsA,"As erosive and deforming arthritis is present in 40% of patients with psoriatic arthritis (PsA), early and aggressive treatment with disease-modifying antirheumatic drugs (DMARDs) may be as effective in controlling the progression of the disease as it is for rheumatoid arthritis (RA). Methotrexate (MTX), sulfasalazine (SSZ), and cyclosporine (CsA) are the most widely used DMARDs in the treatment of PsA and are safe and effective in patients with active peripheral arthritis, although they do not appear to be effective on axial manifestations. No controlled study has evaluated the efficacy of these drugs on the progression of radiological damage. It has recently been demonstrated that leflunomide and anti-tumor necrosis factor (TNF) agents are effective in PsA and psoriasis. The symptomatic improvement has been important and sustained and side effects minimal. In particular, inhibitors of TNF appear to have excellent potential to treat PsA. These agents are able to slow joint damage in rheumatoid arthritis and they are effective on spinal symptoms in ankylosing spondylitis. Hopefully, these findings will prove true in PsA as well."
True,polychlorinated biphenyls pcbs persistent environmental toxicants present ofus adults dosedependently associated obesity nonalcoholic fatty liver disease nafld nan,24812009,Polychlorinated biphenyls/PCBs,NAFLD/non-alcoholic fatty liver disease,"Polychlorinated biphenyls (PCBs) are persistent environmental toxicants, present in 100% of U.S. adults and dose-dependently associated with obesity and non-alcoholic fatty liver disease (NAFLD). PCBs are predicted to interact with receptors previously implicated in xenobiotic/energy metabolism and NAFLD. These receptors include the aryl hydrocarbon receptor (AhR), pregnane xenobiotic receptor (PXR), constitutive androstane receptor (CAR), peroxisome proliferator-activated receptors (PPARs), liver-X-receptor (LXRα), and farnesoid-X-receptor (FXR). This study evaluates Aroclor 1260, a PCB mixture with congener composition mimicking that of human adipose tissue, and selected congeners, as potential ligands for these receptors utilizing human hepatoma-derived (HepG2) and primate-derived (COS-1) cell lines, and primary human hepatocytes. Aroclor 1260 (20 μg/ml) activated AhR, and PCB 126, a minor component, was a potent inducer. Aroclor 1260 activated PXR in a simple concentration-dependent manner at concentrations ≥10 μg/ml. Among the congeners tested, PCBs 138, 149, 151, 174, 183, 187, and 196 activated PXR. Aroclor 1260 activated CAR2 and CAR3 variants at lower concentrations and antagonize CAR2 activation by the CAR agonist, CITCO, at higher concentrations (≥20 μg/ml). Additionally, Aroclor 1260 induced CYP2B6 in primary hepatocytes. At subtoxic doses, Aroclor 1260 did not activate LXR or FXR and had no effect on LXR- or FXR-dependent induction by the agonists T0901317 or GW4064, respectively. Aroclor 1260 (20 μg/ml) suppressed PPARα activation by the agonist nafenopin, although none of the congeners tested demonstrated significant inhibition. The results suggest that Aroclor 1260 is a human AhR, PXR and CAR3 agonist, a mixed agonist/antagonist for CAR2, and an antagonist for human PPARα. "
True,although pcp classified human carcinogen epidemiological observations suggest exposure chlorophenols general pcp solutions particular may result increased risk certain malignant disorders nasal carcinoma soft tissue sarcoma nan,7904464,PCP,sarcoma,"Pentachlorophenol (PCP) was, and still is, one of the most frequently used fungicides and pesticides. Its toxicity is due to interference with oxidative phosphorylation. Acute and chronic poisoning may occur by dermal absorption, inhalation or ingestion. Chronic poisoning occurs mainly in sawmill workers or people living in log homes treated with PCP-containing wood protecting formulations. Quantitative determination of PCP in urine and serum is useful to detect occupational or subclinical exposure. The clinical features of acute and chronic PCP poisoning can be classified systematically into effects on the skin, metabolism (fever), the haematopoietic tissue, the respiratory system, the central and peripheral nervous system, the kidney and the gastrointestinal tract. Although PCP is not classified as a human carcinogen, some epidemiological observations suggest that exposure to chlorophenols in general and PCP solutions in particular may result in an increased risk for certain malignant disorders such as nasal carcinoma and soft tissue sarcoma. There is concern that contamination of PCP-solutions with products such as chlorodibenzo-p-dioxins is the real cause of this suspected carcinogenicity. No specific antidote exists for the treatment of (acute) PCP poisoning. The basis of the treatment of acute poisoning is intensive supportive care with prevention of dangerous rise in temperature. Use of PCP-based products as indoor wood preservatives poses an unacceptable risk to human health."
True,insecticides ddt lindane aldicarb positively associated farmers lung among farmersnan,17182642,DDT,farmer's lung,"Farmer's lung, or hypersensitivity pneumonitis, is an important contributor to respiratory morbidity among farmers."
True,management ssri induced sexual dysfunction nan,9825088,SSRI,sexual dysfunction,"To describe the occurrence and management of sexual dysfunction induced by selective serotonin-reuptake inhibitors (SSRIs), to provide an overview of sexual dysfunction, reports of SSRI-induced sexual dysfunction, and management strategies."
False,rosiglitazone significantly increased glucose uptake wild type podocytes associated translocation glut plasma membranenan,19533082,Rosiglitazone,type,"Peroxisome proliferator-activated receptor (PPAR) gamma agonists are used increasingly in the treatment of type 2 diabetes. In the context of renal disease, PPARgamma agonists reduce microalbuminuria in diabetic nephropathy; however, the mechanisms underlying this effect are unknown. Glomerular podocytes are newly characterised insulin-sensitive cells and there is good evidence that they are targeted in diabetic nephropathy. In this study we investigated the functional and molecular effects of the PPARgamma agonist rosiglitazone on human podocytes."
False,median mpa concentration  microgml patients within range respectively nan,16359376,MPA,MPA,"Therapeutic drug monitoring of mycophenolic acid (MPA) in combination with cyclosporine 2-h concentration (CsA C2, n = 68) or tacrolimus trough concentration (n = 10) was investigated by repeated measurements of MPA and MPA-glucuronide (MPAG) trough concentrations in renal allograft recipients during the first 3 months post-transplant. The acute rejection rate was lower (19% vs. 43%; P < 0.05) in patients achieving CsA C2 target range during the first week (1600-2000 microg/l), n = 26, compared with those who did not, n = 42. Median MPA concentration was 0.9 and 1.2 microg/ml in patients within or below C2 range, respectively (P = 0.19). CsA C2 correlated with MPAG-to-MPA ratio (P < 0.01, r = 0.91) and gamma-glutamyl-transpeptidase (GGT, P < 0.01, r = 0.86). Total MPA concentration increased during the 3 months, but not in patients on tacrolimus. High CsA C2 lowered the acute rejection rate and plasma MPA. High CsA C2 is associated with elevated GGT, probably because of cholestatic effects, which explain the increased MPAG-to-MPA ratio. Increasing MPA concentration is ascribed to per-protocol CsA C2 reductions. In conclusion, CsA may confound the relationship between MPA and the incidence of rejection, and contribute to the difficulty of obtaining a therapeutic range for MPA in clinical practice."
False,tumor growth inhibition tc tumor growth delay tc log kill auristatin pe dolastatin  days  days respectivelynan,10402249,auristatin PE,Tumor,"Waldenstrom's macroglobulinemia (WM) is an uncommon lymphoproliferative disease which remains incurable with current treatment protocols. We have previously established a permanent WM cell line, WSU-WM, which grows as a xenograft in severe combined immune deficient (SCID) mice. In this study, we investigated the anti-tumor effects of auristatin PE (a structural modification of the marine, shell-less mollusk peptide constituent dolastatin 10). WSU-WM cells were cultured in RPMI-1640 at a concentration of 2x10(5) cells/ml using 24-well plates. Auristatin PE or dolastatin 10 were added to triplicate wells and cell count and viability were assessed after 24, 48 and 72 h. Results showed that both agents were active against WSU-WM, and were able to induce complete growth inhibition at 100 pg/ml. The efficacy of these agents in vivo was evaluated using the WSU-WM SCID mouse xenograft model. Auristatin PE and dolastatin 10 were given i.v. via tail vein at 2.0 mg/kg and 0.2 mg/kg, respectively. The agents were given every second day for three injections which represent the maximum tolerated doses. Tumor growth inhibition (T/C), tumor growth delay (T-C), and log10 kill for auristatin PE and dolastatin 10 were 0%, 18 days, 2.83 and 67%, 2 days, 0.06, respectively. Based on these animal results, dolastatin 10 was inactive while auristatin PE was highly active. We therefore focused further investigation on auristatin PE to understand some of its mechanisms of action. Using two flow cytometry assays, propidium iodide for cell cycle analysis and 7-amino actinomycin D (7AAD) to detect apoptosis, we were able to demonstrate that auristatin PE at 10 pg/ml after 24 h arrested 50% of WSU-MW cells in G2M. Concomitantly, 31% of auristatin PE-treated cells entered apoptosis. By 72 h, greater than 75% of the cells became apoptotic. The activity of auristatin PE should be evaluated in other tumor types and in clinical trials."
