boolean_relationship,relationship_info,pmid,chemical_name,disease_name
True,describe yearold woman preexisting mitral valve prolapse developed intractable ventricular fibrillation consuming natural energy guarana health drink containing high concentration caffeine developed ventricular fibrillation consuming health drink containing caffeine,11419773,caffeine,ventricular fibrillation
False,laxation critically ill patients lactulose polyethylene glycol twocenter randomized doubleblind placebocontrolled trialnan,17893628,lactulose,critically ill
False,methotrexate mtx sulfasalazine ssz cyclosporine csa widely used dmards treatment psa safe effective patients active peripheral arthritis although appear effective axial manifestationsnan,12463452,sulfasalazine/SSZ,PsA
True,polychlorinated biphenyls pcbs persistent environmental toxicants present ofus adults dosedependently associated obesity nonalcoholic fatty liver disease nafld nan,24812009,Polychlorinated biphenyls/PCBs,NAFLD/non-alcoholic fatty liver disease
True,although pcp classified human carcinogen epidemiological observations suggest exposure chlorophenols general pcp solutions particular may result increased risk certain malignant disorders nasal carcinoma soft tissue sarcoma nan,7904464,PCP,sarcoma
True,insecticides ddt lindane aldicarb positively associated farmers lung among farmersnan,17182642,DDT,farmer's lung
True,management ssri induced sexual dysfunction nan,9825088,SSRI,sexual dysfunction
False,rosiglitazone significantly increased glucose uptake wild type podocytes associated translocation glut plasma membranenan,19533082,Rosiglitazone,type
False,median mpa concentration  microgml patients within range respectively nan,16359376,MPA,MPA
False,tumor growth inhibition tc tumor growth delay tc log kill auristatin pe dolastatin  days  days respectivelynan,10402249,auristatin PE,Tumor
False,inflammatory hypersensitivity reactions restylane occurrednan,24529939,Restylane,hypersensitivity
True,systemic toxicity may occur following ingestion chromium(vi) salt chromium(vi) induced skin burns inhalation chromium(vi) occurring occupationallynan,10382555,chromium(VI),skin burns
True,numerous clinical trials utilizing various types lipids including fish oil short chain fatty acids suggest fats play important role inflammatory response characterizes inflammatory bowel disease nan,17545776,fatty acids,inflammatory bowel disease
True,case occupational peritoneal mesothelioma exposure tremolite free chrysotile quebec canada black swan casenan,20721899,tremolite,mesothelioma
False, patients chronic haemodialysis hd serum phosphate level mgdl mmoll recently recommended appropriate target patients endstage renal disease esrd nan,12817070,phosphate,ESRD/end-stage renal disease
True,determine dosing side effects dihydroergotamine affect outcomes primary headache disorders nan,22049203,dihydroergotamine,primary headache disorders
False,use heparin extracorporeal therapies problematical due haemorrhagic complications consequence heparinase flavobacterium heparinum used determination plasma heparin elimination heparin circulationnan,8615834,heparin,haemorrhagic
False,patients discontinue mp aza laboratory abnormalities improved spontaneously dose reductionnan,18266236,AZA,laboratory abnormalities
True,epht recruited womens health initiative whi usa decided stop estrogen progestin trial mean years july increased risk breast cancer later estrogen trial ht increased risk stroke decreased risk hip fracture affect coronary heart disease incidencenan,18673555,estrogen,breast cancer
True,unusual burn injury due application white vinegar aspirin mixturenanread googles xd,24102713,aspirin,Unusual burn injury
True,supersensitivity noradrenaline contributes certain vascular disorders eg hypertension chronic neuropathic pain conditions eg complex regional pain syndromenan,11474550,noradrenaline,hypertension
True, patients receiving leuprolide weight gain kgnan,7516978,leuprolide,weight gain
True,however mechanisms myocardial ischemia induced epinephrine significantly different exercisenan,3413271,epinephrine,myocardial ischemia
True,animal studies suggested skin exposure isocyanates may important risk factor respiratory sensitization leading asthma nan,10642416,isocyanates,asthma
False,inhibitory effect bombesin gastrinreleasing peptide antagonist rc-3095 luteinizing hormonereleasing hormone antagonist sb-75 growth mcf miii human breast cancer xenografts athymic nude micenan,8313327,bombesin,breast cancer
False,twentyone consecutive cancer patients morphineinduced delirium underwent opioid rotation fentanyl nan,16043013,fentanyl,cancer
True,reversible hearing loss known complication following administration quinine salicylates nonsteroidal antiinflammatory drugs erythromycinnan,9270425,salicylates,hearing loss
False,predictive therapeutic value thymidine phosphorylase dihydropyrimidine dehydrogenase capecitabine xelodabased chemotherapy head neck cancer nan,19117293,thymidine,head and neck cancer
False,blockade reninangiotensin aldosterone system proven effective retarding progression renal disease remnant kidney model well experimental diseases importantly range progressive human renal diseasesnan,11709805,aldosterone,diseases
True,low dose aspirin asa use associated wide range adverse side effects upper gastrointestinal gi tract range troublesome symptoms without mucosal lesions serious toxicity including ulcers gi bleeding perforation even deathnan,22542152,aspirin,ulcers
True,steroids reported activate hypothalamic networks sexdifferentiated waynan,18056697,steroids,hypothalamic networks
False,effects urinary albumin excretion renal function changes delapril manidipine normotensive type diabetic patients microalbuminurianan,11336083,manidipine,diabetic
False,inhibitors activity ethanol 4-methylpyrazole isoniazid caused decrease methylation cellular macromolecules also completely protected cells ndmamediated toxicity nan,9498284,4-methylpyrazole,toxicity
True,nicotine wellknown unpleasant side effects eg transient dizziness nausea nicotine induced nystagmus ninnan,17990061,Nicotine,nausea
False,modulating effect recombinant human interferon alpha ifnalpha antitumor efficacy 5-fluorouracil 5-fu human carcinoma cell lines investigated vitro vivonan,8074466,5-FU/5-fluorouracil,carcinoma
